全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
170003,AA0000000054,石川県,石川県森林公園,イシカワケンシンリンコウエン,Ishikawa　Forest　Park,森林公園,1099,,,173614,,石川県河北郡津幡町字津幡エ14,石川県,津幡町,字津幡,エ14,,36.68864,136.75048,,,(076)288-6449,,,,,,,森林公園地域振興会・金沢森林組合エコグループ,月火水木金土日,9:00,17:00,12/29〜1/3は休み,バーベーキュー、キャンプ、フィールドアスレチック、ボート、テニス、ゴルフ、体験展示施設、見晴台,可,有,無,有,有,無,無,有,無,有,有,無,有,有,可,無,有,  https://www.forestpark-ishikawa.jp,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000055,石川県,石川県県民の森,イシカワケンケンミンノモリ,Ishikawa Kenmin no Mori,県民の森,1099,,,172065,,石川県加賀市山中温泉杉水町ル8,石川県,加賀市,山中温泉杉水町,ル8,,36.30,136.31,,,(0761)78-3883,,,,,,4700150049606,県民の森地域振興会,月火水木金土日,9:00,17:00,12/1〜4/28まで休業その他は無休,公園、キャンプ場、宿泊施設あり。,可,無,有,有,有,無,無,有,無,有,有,無,有,有,可,無,可,https://kenminmori.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000056,石川県,のとじま臨海公園・水族館,ノトジマリンカイコウエン・スイゾクカン,Notojima Aquarium,のとじま水族館,0807,,,172022,,石川県七尾市能登島曲町15部40,石川県,七尾市,能登島曲町,15部40,,37.14926929,136.9839388,,,(0767)84-1271,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月火水木金土日,9:00,3／20〜11/30 17:00  12/1〜3/19  16:30,12/29〜12/31は休館,ジンベエザメなど能登半島近海に生息・回遊してくる魚を中心に飼育・展示しています。 イルカ・アシカショーをはじめ、ペンギンのお散歩、マダイの音と光のファンタジアなどのイベントが多く、時間が経つのも忘れてしまうくらい。エサやり体験やイルカなどの生きものとのふれあいもできる参加型水族館です。,可,無,無,有,有,無,有,有,有,有,有,有,有,有,可,無,有,https://www.notoaqua.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000057,石川県,いしかわ動物園,イシカワドウブツエン,ISHIKAWA ZOO,いしかわ動物園,0804,,,172111,,石川県能美市徳丸町600,石川県,能美市,徳丸町,600,,36.43348452,136.5459903,,,(0761)51-8500,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月水木金土日,9:00,4／1〜10/31　17:00   11/1〜3/31　 16:30,火曜日、12/29〜1/1は休園　春休み及び夏休み期間は休園日なし　2023/5/2及び2024/1/2は開園,約200種2500個体の動物を飼育展示し、中には特別天然記念物のトキ、ライチョウの展示やふれあい体験館ではウサギなどのふれあいを通して動物福祉について学ぶことができます。,可,有,無,有,有,有,有,有,無,無,有,有,有,有,可,有,有,http://www.ishikawazoo.jp,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000058,石川県,石川県ふれあい昆虫館,イシカワケンフレアイコンチュウカン,ISHIKAWA INSECT MUSEUM,ふれあい昆虫館,0808,,,172103,,石川県白山市八幡町戌3,石川県,白山市,八幡町戌,3,,36.44427499,136.6322632,,,(076)272-3417,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月水木金土日,9:30,4／1〜10/31　17:00   11/1〜3/31　 16:30,火曜日、12/29〜1/1は休園　春休み及び夏休み期間は休園日なし　2023/5/2及び2024/1/2は開園,昆虫とふれあうことで自然の大切さを学ぶことができる施設,可,有,無,有,有,有,無,有,無,無,有,無,有,有,可,無,有,https://www.furekon.jp,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000059,石川県,国際交流センター,コクサイコウリュウセンター,ishikawa prefectual international exchange center,IFIE,1399,,,172014,,石川県金沢市本町１丁目５番３号リファーレ３階,石川県,金沢市,本町1丁目,5番3号,リファーレ3階,36.57956,136.66186,,,(076)262-5931,,,,,,220005000181, (公財)石川県国際交流協会,月火水木金土日,9:00,20:00,土曜日、日曜日、祝日は17：00まで。また12/29〜1/3は終日利用不可。,国際交流・国際協力と語学研修並びに国際情報サービスの拠点,可,無,無,有,有,無,無,有,無,有,有,無,有,有,否,無,有,https://ifie.or.jp/japan/facilities/center/home_center.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000060,石川県,石川県こころの健康センター,イシカワケンココロノケンコウセンター,Ishikawa prefecture mental health center,,1399,,,170003,,石川県金沢市鞍月東２丁目６番地,石川県,金沢市,鞍月東2丁目,6番地,,36.59475144,136.6316737,,,(076)238-5761,,,,,,2000020170003,石川県,月火水木金,8:30,17:15,祝日、12/29〜1/3は利用不可,,可,有,無,無,有,無,無,有,無,有,有,無,無,無,否,無,有,https://www.pref.ishikawa.lg.jp/fukusi/kokoro-home/kokoro/top.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000061,石川県,石川県立生涯学習センター,イシカワケンリツショウガイガクシュウセンター,Ishikawa Prefectural Lifelong Learning Center,,1511,,,172014,,石川県金沢市石引4丁目17-1石川県本多の森庁舎,石川県,金沢市,石引,4丁目17-1,石川県本多の森庁舎,36.55808362,136.664901,,,(076)223-9571,,,,,,2000020170003,石川県,月火水木金土日,9:00,18:00,12/29~1/3は終日利用不可,講演、講座の開催。視聴覚資料の貸出,可,無,無,有,有,無,無,有,無,無,無,無,無,無,否,無,有,https://www.pref.ishikawa.lg.jp/shakyo-c/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000062,石川県,石川県立白山青年の家,イシカワケンリツハクサンセイネンノイエ,Ishikawa Prefectural Hakusan Youth House,,1599,,,172014,,石川県白山市八幡町戌142,石川県,白山市,八幡町,戌142,,36.4425378,136.632577,,,(076)2723695,,,,,,9220005002663,（一財団法人白山市地域振興公社,火水木金土日,8:30,17:15,12/29〜1/3は利用不可,宿泊研修施設,可,有,無,無,エレベータ有,有,無,無,無,有,有,無,無,無,可,無,有,http://www.hakusanseinen.jp,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000063,石川県,石川県立白山ろく少年自然の家,イシカワケンリツハクサンロクショウネンシゼンノイエ,Ishikawa Prefectural hakusanrokusyounennsizennnoie,,1599,,,172014,,石川県白山市瀬戸ワ29番地,石川県,白山市,瀬戸,ワ28番地,,36.2928,136.6427,,,（076）256-7114,,,,,,9220005002663 ,（一財）白山市地域振興公社,火水木金土日,8:30,17:15,月曜休館ではあるが休館日変更有り。12/29〜1/3は利用不可,宿泊研修施設,可,無,無,無,無,無,無,無,無,有,有,無,無,無,否,無,無,http://www.hakusan6.com,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000064,石川県,石川県立鹿島少年自然の家,イシカワケンリツカシマショウネンシゼンノイエ,Ishikawa Prefectural Kashimashyounenshizennoie,,1599,,,172014,,石川県鹿島郡中能登町高畠原山分ハ1,石川県,鹿島郡中能登町,高畠原山分,ハ１,,36.92061642,136.8912166,,,（0767）77-2200,,,,,,5220005000175, (一財)石川県県民ふれあい公社,火水木金土日,8:30,17:15,12/29〜1/3は利用不可,宿泊研修施設,可,無,無,有,スロープ有,有,有,無,無,有,無,無,無,無,可,無,有,http://www.ishikawa-shizen.jp/kashima/top.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000065,石川県,石川県立能登少年自然の家,イシカワケンリツノトショウネンシゼンノイエ,notosyounennshizennnoie,,1599,,,172014,,石川県鳳珠郡能登町字九里川尻16字20番地,石川県,鳳珠郡能登町,九里川尻,16-20,,37.33843336,137.2531816,,,（0768）72-2200,,,,,,5220005000175, (一財)石川県県民ふれあい公社,火水木金土日,8:30,17:15,年末年始(12月29日〜1月3日)は利用不可,宿泊研修施設,可,有,無,有,エスカレータは無,有,有,無,無,無,有,無,無,無,可,無,無,http//www.ishikawa-shizen.jp/noto/top.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000066,石川県,石川県立自然史資料館,イシカワケンリツシゼンシシリョウカン,Ishikawa Museum of Natural History,,1511,,,172014,,石川県金沢市銚子町リ441,石川県,金沢市,銚子町,リ441,,36.5231,136.70568,,,(076)229-3450,,,,,,2000020170003,特定非営利活動法人石川県自然史センター,月火水木金土日,9:00,17:00,12/29〜1/3は終日利用不可。,自然に関する教育普及活動、体験学習、自然史資料の展示,可,有,無,無,有,無,無,無,無,無,有,無,無,無,否,無,無,https://www.n-muse-ishikawa.or.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000067,石川県,公益財団法人石川県埋蔵文化財センター,コウエキザイダンホウジンイシカワケンマイゾウブンカザイセンター,Ishikawa Archaeological Foundation,,1599,,,172014,,石川県金沢市中戸町18番地1,石川県,金沢市,中戸町,18番地1,,36.50936,136.68955,,,(076)229-4477,,,,,,1220005000212,公益財団法人石川県埋蔵文化財センター,月火水木金土日,9:00,17:00,12/29〜1/3は終日利用不可。,展示室の見学、体験工房での古代体験は無料。,可,有,無,有,有,無,無,有,無,無,有,無,有,有,可,無,有,https://www.ishikawa-maibun.jp,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000068,石川県, 輪島エコロジーキャンプ場,ワジマエコロジーキャンプジョウ,Wajima ecology camp site,,1152,,,170003,,石川県輪島市赤崎町へ部３３  輪島エコロジーキャンプ場,石川県,輪島市,赤崎町,へ部33,,37.38490255,136.8168,,,(0768)36-2065,,,,,,1220001016476,株式会社　上田組,月火水木金土日,0:00,23:59,4/1〜10/31,,可,無,無,有,有,無,無,有,無,有,無,無,無,有,可,無,有,http://wajimaekocampsuite.cocolog-nifty.com/,,,
170003,AA0000000069,石川県, 室堂センター、くろゆり荘、こざくら荘、御前荘、白山荘,ムロドウセンター、クロユリソウ、コザクラソウ、ゴゼンソウ、ハクサンソウ,"Murodou visitor center,mountain cottage",,2314,,,170003,,石川県白山市白峰白山室堂平  室堂センター、くろゆり荘、こざくら荘、御前荘、白山荘,石川県,白山市,白峰,白山室堂平,,36.1491,136.7678,,,(076)273-1001,,,,,,6220005000158,一般財団法人　白山観光協会,月火水木金土日,0:00,23:59,開館期間5/1〜10/15,,否,無,無,無,無,無,無,無,無,有,無,無,無,無,可,無,無,https://hakusan-guide.or.jp,,,
170003,AA0000000070,石川県, 南竜ヶ馬場ﾋﾞｼﾞﾀｰｾﾝﾀｰ、野営場、山荘、ｹﾋﾞﾝ,ミナミリュウガバンバビジターセンター、ヤエイジョウ、ナンリュウサンソウ、ケビン,"Nannryuu visitor center,mountain cottage",,1152,,,170003,,石川県白山市白峰南竜ヶ馬場  南竜ヶ馬場ﾋﾞｼﾞﾀｰｾﾝﾀｰ、野営場、山荘、ｹﾋﾞﾝ,石川県,白山市,白峰,南竜ヶ馬場,,36.1413,136.7727,,,(076)259-2022,,,,,,9220005002663,一般財団法人　白山市地域振興公社,月火水木金土日,0:00,23:59,開館期間5/1〜10/15,,可,無,無,無,無,無,無,無,無,無,無,無,無,無,可,無,有,https://city-hakusan.com/hakusan/naryusanso/,,,
170003,AA0000000071,石川県, 白山国立公園センター_,ハクサンコクリツコウエンセンター,Hakusann national park visitor center,,0205,,,170003,,石川県白山市白峰ツ?57乙  白山国立公園センター_,石川県,白山市,白峰,ツ?57乙,,36.1664,136.6382,,,(076)259-2320,,,,,,2220005003255,特定非営利活動法人　白峰まちづくり協議会,月火水金土日,9:00,17:00,木、年末年始休館,,可,無,無,有,有,無,無,無,有,有,無,無,無,無,否,無,有,https://city-hakusan.com/hakusan/hakusan_national_park_center-2/,,,
170003,AA0000000072,石川県, 中宮温泉野営場,チュウグウオンセンヤエイジョウ,Tyuuguuonnsenn camp site,,1152,,,170003,,石川県白山市中宮3  中宮温泉野営場,石川県,白山市,中宮,3,,36.2591,136.7503,,,(076)272-1116,,,,,,9220005002663,一般財団法人　白山市地域振興公社,月火水金土日,0:00,23:59,開館期間6/1〜11/10,,可,無,無,無,無,無,無,無,無,無,無,無,無,無,可,無,有,https://city-hakusan.com/hakusan/chugu_camp/,,,
170003,AA0000000073,石川県, 市ノ瀬野営場,イチノセヤエイジョウ,Ichinose camp site,,1152,,,170003,,石川県白山市白峰35-1  市ノ瀬野営場,石川県,白山市,白峰,35-1,,36.1147,136.6997001,,,(076)259-2121,,,,,,9220005002663,一般財団法人　白山市地域振興公社,月火水木金土日,8:45,17:00,開館期間5/1〜11/6,,可,無,無,無,無,無,無,無,無,無,無,無,無,無,可,無,有,https://city-hakusan.com/hakusan/ichinose_camp/,,,
170003,AA0000000074,石川県, 能登千里浜休暇村野営場,ノトチリハマキュウカムラヤエイジョウ,Noto chirihama camp site,,1152,,,170003,,石川県羽咋市羽咋町オ７０  能登千里浜休暇村野営場,石川県,羽咋市,羽咋町,オ70,,36.9116,136.7762,,,(0767)22-4121,,,,,,2010505002109,一般財団法人　休暇村協会,月火水木金土日,0:00,23:59,4/1〜10/31,,,,,,,,,,,,,,,,,,,https://www.qkamura.or.jp/noto/camp/,,,
170003,AA0000000075,石川県, 木ノ浦健民休暇村野営場,キノウラケンミンキュウカムラヤエイジョウ,Kinoura kennminn kyuukamura camp site,,1152,,,170003,,石川県珠洲市折戸町  木ノ浦健民休暇村野営場,石川県,珠洲市,折戸町,,,37.5278,137.2611,,,(0768)86-2204,,,,,,2000020172057,珠洲市,月火水木金土日,0:00,23:59,7/1〜8/31,,否,無,無,有,無,無,無,有,無,無,無,無,無,無,可,無,有,https://www.city.suzu.lg.jp/site/kankou/1827.html,,,
170003,AA0000000076,石川県, のと海洋ふれあいセンター,ノトカイヨウフレアイセンター,noto marine center,,0808,,,170003,,石川県能登町越坂3-47  のと海洋ふれあいセンター,石川県,能登町,越坂,3-47,,37.3048,137.2410,,,(0768)74-1919,,,,,,5220005000175,一般財団法人　石川県県民ふれあい公社,火水木金土日,9:00,17:00,月、年末年始休館,,可,有,無,有,スロープ有,有,有,無,無,有,有,無,有,有,否,有,有,http://notomarine.jp/,,,
170003,AA0000000077,石川県, 片野鴨池健民自然園,カタノカモイケケンミンシゼンエン,Katano kamoike kennminn nature garden,,1002,,,170003,,石川県加賀市  片野鴨池健民自然園,石川県,加賀市,,,,36.3218,136.2945,,,(0761)72-2200,,,,,,2000020172065,加賀市,月火水木金土日,0:00,23:59,,,否,無,無,無,無,無,無,無,無,無,無,無,無,無,否,無,無,,,,
170003,AA0000000078,石川県, 夕日寺健民自然園,ユウヒデラケンミンシゼンエン,Yuuhidera kennminn nature garden,,1002,,,170003,,石川県金沢市夕日寺町ハ116  夕日寺健民自然園,石川県,金沢市,夕日寺町,ハ116,,36.5723,136.7078,,,(076)251-7554,,,,,,1220005002464,公益社団法人　いしかわ環境パートナーシップ県民会議,月水木金土日,9:00,17:00,火、年末年始休館,,可,無,無,有,スロープ有,無,無,有,無,無,無,無,無,無,可,無,有,https://www.yuhidera.jp/,,,
170003,AA0000000079,石川県, 中宮展示館展示室,チュウグウテンジカンテンジシツ,Tyuuguu exhibition hall,,0205,,,170003,,石川県白山市中宮オ9  中宮展示館展示室,石川県,白山市,中宮,オ9,,36.2632,136.7602,,,(076)256-7111,,,,,,2000020170003,石川県,月火水木金土日,9:00,16:30,開館期間5/1〜11月上旬,,可,無,無,有,スロープ有,有,有,無,有,有,有,無,有,有,否,無,有,https://www.pref.ishikawa.lg.jp/hakusan/chuuguu/,,,
170003,AA0000000080,石川県, 医王山ビジターセンター,イオウゼンビジターセンター,Iouzen visitor center,,0205,,,170003,,石川県金沢市奥新保町  医王山ビジターセンター,石川県,金沢市奥新保町,,,,36.5493,136.7962,,,(076)236-1165,,,,,,2000020170003,石川県,火水木金土日,9:00,15:00,開館期間5/1〜11/30,,可,無,無,無,無,無,無,無,無,有,無,無,無,無,否,無,有,https://www.pref.ishikawa.lg.jp/sizen/sizenkouen/iouzen_jouhou.html,,,
170003,AA0000000081,石川県,石川県消費生活支援センター,ショウヒセイカツシエンセンター,consumer center,,1399,,,172014,,石川県金沢市幸町12-1石川県幸町庁舎3階,石川県,金沢市,幸町,‘12ｰ1,石川県幸町庁舎,36.55547256,136.6578768,,,(076)255-2120,,,,,,2000020170003,石川県,月火水木金土,9:00,17:00,土曜日 9時から12時30分。また日曜、祝日、年末年始は終日利用不可。,消費生活相談、消費者教育、商品テスト,可,有,無,無,有,有,無,無,無,無,有,無,無,無,否,無,無,https://www.pref.ishikawa.lg.jp/shohicenter/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000082,石川県,石川県青少年総合研修センター,イシカワケンセイショウネンソウゴウケンシュウセンター,Ishikawa Youth Training Cente,ユースパルいしかわ,1514,,,172014,, 石川県金沢市常盤町212-1,石川県,金沢市,常盤町,212-1,,36.56567548,136.6763111,,,(076)252-0666,,,,,,220001011236,株式会社アイ・イー・パートナーズ,月火水木金土日,9:00,22:00,年末年始(12/29〜1/3)は休館日,,可,可,無,有,有,有,無,無,無,無,有,無,有,有,可,無,有,http://www.ishikawa-seisoken.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000083,石川県,石川県母子・父子福祉センター,イシカワケンボシ・フシフクシセンター,Ishikawa mother and child father and child welfare center,母子・父子福祉センター,1499,,,170003,,石川県金沢市三社町１番４４号,石川県,金沢市,三社町,1番44号,石川県女性センター5階,36.5709808,136.6457627,,,(076)264-0503,,,,,,2220005000211,公益財団法人石川県母子寡婦連合会,月火水木金日,8:30,17:00,第３日曜日、祝日、年末年始(12/29〜1/3)は利用不可,ひとり親家庭や寡婦に対して、無料又は低額な料金で各種の相談に応ずるとともに生活指導を行う等、ひとり親家庭や寡婦の福祉のための便宜を総合的に供与することを目的とする施設,可,有,無,有,有,有,無,有,無,有,有,有,有,有,可,無,可,http://www.spacelan.ne.jp/~kenboren/index.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,※オストメイト対応トイレ、授乳室、おむつ替えコーナーは女性センター内に有り
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
